user,contributions,repositories,primary_language,monthly_contributions,contribution_types
LamequeFernandes,659,45,Python,"{'2023-06': 70, '2023-07': 64, '2023-08': 90, '2023-09': 67, '2023-10': 61, '2023-11': 81, '2023-12': 56, '2024-01': 24, '2024-02': 20, '2024-03': 48, '2024-04': 28, '2024-05': 41, '2024-06': 9}","{'commits': 157, 'pull_requests': 9, 'issues': 9, 'reviews': 2}"
PoltoS,340,10,JavaScript,"{'2023-06': 87, '2023-07': 68, '2023-08': 17, '2023-09': 25, '2023-10': 27, '2023-11': 7, '2023-12': 36, '2024-01': 7, '2024-02': 4, '2024-03': 9, '2024-04': 13, '2024-05': 40, '2024-06': 0}","{'commits': 324, 'pull_requests': 7, 'issues': 2, 'reviews': 5}"
GabrielaTiago,501,48,JavaScript,"{'2023-06': 40, '2023-07': 51, '2023-08': 13, '2023-09': 1, '2023-10': 20, '2023-11': 40, '2023-12': 47, '2024-01': 32, '2024-02': 65, '2024-03': 71, '2024-04': 28, '2024-05': 93, '2024-06': 0}","{'commits': 176, 'pull_requests': 2, 'issues': 0, 'reviews': 5}"
synesthesiam,1525,137,Python,"{'2023-06': 117, '2023-07': 119, '2023-08': 77, '2023-09': 147, '2023-10': 265, '2023-11': 125, '2023-12': 123, '2024-01': 170, '2024-02': 163, '2024-03': 82, '2024-04': 32, '2024-05': 105, '2024-06': 0}","{'commits': 1108, 'pull_requests': 239, 'issues': 4, 'reviews': 85}"
lucassouzs,535,15,HTML,"{'2023-06': 9, '2023-07': 9, '2023-08': 7, '2023-09': 70, '2023-10': 177, '2023-11': 199, '2023-12': 59, '2024-01': 0, '2024-02': 0, '2024-03': 0, '2024-04': 4, '2024-05': 1, '2024-06': 0}","{'commits': 517, 'pull_requests': 13, 'issues': 0, 'reviews': 0}"
brunomed,34,18,Python,"{'2023-06': 0, '2023-07': 0, '2023-08': 0, '2023-09': 0, '2023-10': 0, '2023-11': 9, '2023-12': 6, '2024-01': 0, '2024-02': 0, '2024-03': 0, '2024-04': 19, '2024-05': 0, '2024-06': 0}","{'commits': 27, 'pull_requests': 2, 'issues': 1, 'reviews': 0}"
gustavofbs,327,15,Python,"{'2023-06': 31, '2023-07': 41, '2023-08': 6, '2023-09': 22, '2023-10': 67, '2023-11': 74, '2023-12': 67, '2024-01': 0, '2024-02': 0, '2024-03': 0, '2024-04': 2, '2024-05': 15, '2024-06': 2}","{'commits': 218, 'pull_requests': 64, 'issues': 0, 'reviews': 36}"
boswelja,1292,27,Kotlin,"{'2023-06': 36, '2023-07': 88, '2023-08': 112, '2023-09': 137, '2023-10': 58, '2023-11': 119, '2023-12': 91, '2024-01': 104, '2024-02': 133, '2024-03': 109, '2024-04': 120, '2024-05': 181, '2024-06': 4}","{'commits': 662, 'pull_requests': 408, 'issues': 26, 'reviews': 46}"
yukioz,86,50,JavaScript,"{'2023-06': 12, '2023-07': 32, '2023-08': 0, '2023-09': 0, '2023-10': 0, '2023-11': 0, '2023-12': 11, '2024-01': 0, '2024-02': 0, '2024-03': 16, '2024-04': 7, '2024-05': 8, '2024-06': 0}","{'commits': 73, 'pull_requests': 5, 'issues': 1, 'reviews': 1}"
LorrayneCardozo,141,37,Java,"{'2023-06': 72, '2023-07': 52, '2023-08': 12, '2023-09': 4, '2023-10': 0, '2023-11': 0, '2023-12': 0, '2024-01': 1, '2024-02': 0, '2024-03': 0, '2024-04': 0, '2024-05': 0, '2024-06': 0}","{'commits': 110, 'pull_requests': 11, 'issues': 1, 'reviews': 13}"
Fealps,175,32,JavaScript,"{'2023-06': 68, '2023-07': 62, '2023-08': 0, '2023-09': 0, '2023-10': 0, '2023-11': 0, '2023-12': 0, '2024-01': 0, '2024-02': 0, '2024-03': 0, '2024-04': 0, '2024-05': 45, '2024-06': 0}","{'commits': 99, 'pull_requests': 10, 'issues': 10, 'reviews': 8}"
OscarDeBrito,428,21,Java,"{'2023-06': 59, '2023-07': 61, '2023-08': 0, '2023-09': 5, '2023-10': 80, '2023-11': 38, '2023-12': 32, '2024-01': 0, '2024-02': 1, '2024-03': 56, '2024-04': 32, '2024-05': 64, '2024-06': 0}","{'commits': 322, 'pull_requests': 18, 'issues': 66, 'reviews': 13}"
piitaya,1703,89,TypeScript,"{'2023-06': 189, '2023-07': 122, '2023-08': 156, '2023-09': 101, '2023-10': 150, '2023-11': 140, '2023-12': 112, '2024-01': 157, '2024-02': 125, '2024-03': 231, '2024-04': 122, '2024-05': 96, '2024-06': 2}","{'commits': 660, 'pull_requests': 503, 'issues': 2, 'reviews': 524}"
The-Boss-Nina,113,21,Python,"{'2023-06': 19, '2023-07': 37, '2023-08': 0, '2023-09': 7, '2023-10': 4, '2023-11': 0, '2023-12': 0, '2024-01': 0, '2024-02': 0, '2024-03': 0, '2024-04': 16, '2024-05': 30, '2024-06': 0}","{'commits': 98, 'pull_requests': 3, 'issues': 6, 'reviews': 0}"
brenob6,446,16,C,"{'2023-06': 49, '2023-07': 48, '2023-08': 0, '2023-09': 58, '2023-10': 103, '2023-11': 97, '2023-12': 70, '2024-01': 4, '2024-02': 2, '2024-03': 14, '2024-04': 1, '2024-05': 0, '2024-06': 0}","{'commits': 385, 'pull_requests': 38, 'issues': 19, 'reviews': 0}"
StrangeUnit28,278,15,Python,"{'2023-06': 105, '2023-07': 57, '2023-08': 1, '2023-09': 60, '2023-10': 26, '2023-11': 22, '2023-12': 7, '2024-01': 0, '2024-02': 0, '2024-03': 0, '2024-04': 0, '2024-05': 0, '2024-06': 0}","{'commits': 207, 'pull_requests': 20, 'issues': 23, 'reviews': 28}"
gabrielrosa09,367,35,Python,"{'2023-06': 39, '2023-07': 46, '2023-08': 3, '2023-09': 62, '2023-10': 33, '2023-11': 106, '2023-12': 19, '2024-01': 7, '2024-02': 7, '2024-03': 14, '2024-04': 31, '2024-05': 0, '2024-06': 0}","{'commits': 319, 'pull_requests': 4, 'issues': 5, 'reviews': 0}"
pedrogot11,0,2,Python,"{'2023-06': 0, '2023-07': 0, '2023-08': 0, '2023-09': 0, '2023-10': 0, '2023-11': 0, '2023-12': 0, '2024-01': 0, '2024-02': 0, '2024-03': 0, '2024-04': 0, '2024-05': 0, '2024-06': 0}","{'commits': 0, 'pull_requests': 0, 'issues': 0, 'reviews': 0}"
arthurrochamoreira,591,3,JavaScript,"{'2023-06': 15, '2023-07': 0, '2023-08': 0, '2023-09': 6, '2023-10': 159, '2023-11': 264, '2023-12': 147, '2024-01': 0, '2024-02': 0, '2024-03': 0, '2024-04': 0, '2024-05': 0, '2024-06': 0}","{'commits': 585, 'pull_requests': 5, 'issues': 0, 'reviews': 0}"
epenet,714,50,Python,"{'2023-06': 57, '2023-07': 24, '2023-08': 21, '2023-09': 8, '2023-10': 5, '2023-11': 48, '2023-12': 31, '2024-01': 44, '2024-02': 6, '2024-03': 66, '2024-04': 78, '2024-05': 324, '2024-06': 2}","{'commits': 240, 'pull_requests': 211, 'issues': 3, 'reviews': 254}"
lucas229,191,23,C++,"{'2023-06': 104, '2023-07': 74, '2023-08': 0, '2023-09': 5, '2023-10': 5, '2023-11': 0, '2023-12': 3, '2024-01': 0, '2024-02': 0, '2024-03': 0, '2024-04': 0, '2024-05': 0, '2024-06': 0}","{'commits': 147, 'pull_requests': 17, 'issues': 6, 'reviews': 21}"
melohugo,130,10,JavaScript,"{'2023-06': 23, '2023-07': 3, '2023-08': 0, '2023-09': 15, '2023-10': 17, '2023-11': 36, '2023-12': 35, '2024-01': 0, '2024-02': 0, '2024-03': 0, '2024-04': 0, '2024-05': 1, '2024-06': 0}","{'commits': 117, 'pull_requests': 3, 'issues': 5, 'reviews': 0}"
Renatinha28,25,4,Java,"{'2023-06': 0, '2023-07': 0, '2023-08': 0, '2023-09': 1, '2023-10': 0, '2023-11': 1, '2023-12': 0, '2024-01': 0, '2024-02': 0, '2024-03': 0, '2024-04': 9, '2024-05': 14, '2024-06': 0}","{'commits': 24, 'pull_requests': 0, 'issues': 0, 'reviews': 0}"
CarolinaBarb,188,10,TypeScript,"{'2023-06': 43, '2023-07': 50, '2023-08': 0, '2023-09': 14, '2023-10': 25, '2023-11': 29, '2023-12': 18, '2024-01': 0, '2024-02': 0, '2024-03': 0, '2024-04': 9, '2024-05': 0, '2024-06': 0}","{'commits': 182, 'pull_requests': 2, 'issues': 4, 'reviews': 0}"
ananorberto,259,29,C,"{'2023-06': 72, '2023-07': 21, '2023-08': 0, '2023-09': 53, '2023-10': 35, '2023-11': 19, '2023-12': 5, '2024-01': 2, '2024-02': 0, '2024-03': 0, '2024-04': 5, '2024-05': 47, '2024-06': 0}","{'commits': 154, 'pull_requests': 22, 'issues': 6, 'reviews': 10}"
FelipeNunesdM,39,9,HTML,"{'2023-06': 2, '2023-07': 37, '2023-08': 0, '2023-09': 0, '2023-10': 0, '2023-11': 0, '2023-12': 0, '2024-01': 0, '2024-02': 0, '2024-03': 0, '2024-04': 0, '2024-05': 0, '2024-06': 0}","{'commits': 37, 'pull_requests': 0, 'issues': 0, 'reviews': 0}"
akx,5032,802,Python,"{'2023-06': 349, '2023-07': 425, '2023-08': 107, '2023-09': 540, '2023-10': 244, '2023-11': 477, '2023-12': 494, '2024-01': 707, '2024-02': 397, '2024-03': 355, '2024-04': 428, '2024-05': 485, '2024-06': 24}","{'commits': 768, 'pull_requests': 356, 'issues': 45, 'reviews': 179}"
Muniz2811,103,10,HTML,"{'2023-06': 1, '2023-07': 19, '2023-08': 0, '2023-09': 7, '2023-10': 33, '2023-11': 17, '2023-12': 18, '2024-01': 0, '2024-02': 0, '2024-03': 1, '2024-04': 5, '2024-05': 2, '2024-06': 0}","{'commits': 90, 'pull_requests': 5, 'issues': 3, 'reviews': 1}"
antoniotoineto,237,33,JavaScript,"{'2023-06': 101, '2023-07': 132, '2023-08': 0, '2023-09': 0, '2023-10': 0, '2023-11': 0, '2023-12': 0, '2024-01': 4, '2024-02': 0, '2024-03': 0, '2024-04': 0, '2024-05': 0, '2024-06': 0}","{'commits': 168, 'pull_requests': 16, 'issues': 26, 'reviews': 23}"
martinsglucas,462,8,HTML,"{'2023-06': 18, '2023-07': 7, '2023-08': 1, '2023-09': 69, '2023-10': 67, '2023-11': 71, '2023-12': 84, '2024-01': 0, '2024-02': 0, '2024-03': 3, '2024-04': 76, '2024-05': 66, '2024-06': 0}","{'commits': 392, 'pull_requests': 19, 'issues': 9, 'reviews': 4}"
mib1185,766,54,Python,"{'2023-06': 16, '2023-07': 82, '2023-08': 30, '2023-09': 34, '2023-10': 22, '2023-11': 46, '2023-12': 63, '2024-01': 90, '2024-02': 106, '2024-03': 16, '2024-04': 111, '2024-05': 148, '2024-06': 2}","{'commits': 345, 'pull_requests': 243, 'issues': 2, 'reviews': 148}"
Matheusafonsouza,1890,114,Python,"{'2023-06': 114, '2023-07': 78, '2023-08': 116, '2023-09': 163, '2023-10': 298, '2023-11': 187, '2023-12': 267, '2024-01': 183, '2024-02': 141, '2024-03': 28, '2024-04': 145, '2024-05': 170, '2024-06': 0}","{'commits': 124, 'pull_requests': 15, 'issues': 0, 'reviews': 1}"
bramkragten,2564,72,Python,"{'2023-06': 317, '2023-07': 123, '2023-08': 239, '2023-09': 249, '2023-10': 262, '2023-11': 215, '2023-12': 184, '2024-01': 277, '2024-02': 196, '2024-03': 116, '2024-04': 307, '2024-05': 79, '2024-06': 0}","{'commits': 922, 'pull_requests': 578, 'issues': 2, 'reviews': 1059}"
PedroHenrique2077,95,28,Python,"{'2023-06': 2, '2023-07': 12, '2023-08': 13, '2023-09': 15, '2023-10': 14, '2023-11': 21, '2023-12': 5, '2024-01': 0, '2024-02': 0, '2024-03': 6, '2024-04': 3, '2024-05': 4, '2024-06': 0}","{'commits': 77, 'pull_requests': 4, 'issues': 2, 'reviews': 3}"
klaasnicolaas,2427,82,Python,"{'2023-06': 385, '2023-07': 180, '2023-08': 81, '2023-09': 127, '2023-10': 189, '2023-11': 149, '2023-12': 216, '2024-01': 171, '2024-02': 295, '2024-03': 162, '2024-04': 332, '2024-05': 137, '2024-06': 3}","{'commits': 783, 'pull_requests': 480, 'issues': 20, 'reviews': 493}"
RcleydsonR,29,49,JavaScript,"{'2023-06': 6, '2023-07': 8, '2023-08': 0, '2023-09': 6, '2023-10': 0, '2023-11': 0, '2023-12': 3, '2024-01': 0, '2024-02': 0, '2024-03': 6, '2024-04': 0, '2024-05': 0, '2024-06': 0}","{'commits': 21, 'pull_requests': 5, 'issues': 0, 'reviews': 2}"
MarcusEscobar,202,13,JavaScript,"{'2023-06': 14, '2023-07': 5, '2023-08': 0, '2023-09': 16, '2023-10': 11, '2023-11': 48, '2023-12': 23, '2024-01': 80, '2024-02': 0, '2024-03': 1, '2024-04': 4, '2024-05': 0, '2024-06': 0}","{'commits': 191, 'pull_requests': 1, 'issues': 0, 'reviews': 0}"
wagnermc506,218,36,JavaScript,"{'2023-06': 19, '2023-07': 30, '2023-08': 0, '2023-09': 6, '2023-10': 57, '2023-11': 51, '2023-12': 54, '2024-01': 0, '2024-02': 0, '2024-03': 0, '2024-04': 1, '2024-05': 0, '2024-06': 0}","{'commits': 173, 'pull_requests': 23, 'issues': 3, 'reviews': 17}"
Peh099,693,53,Python,"{'2023-06': 40, '2023-07': 34, '2023-08': 4, '2023-09': 25, '2023-10': 48, '2023-11': 34, '2023-12': 38, '2024-01': 103, '2024-02': 87, '2024-03': 77, '2024-04': 100, '2024-05': 103, '2024-06': 0}","{'commits': 52, 'pull_requests': 6, 'issues': 1, 'reviews': 0}"
EduardoGurgel,800,41,Python,"{'2023-06': 8, '2023-07': 42, '2023-08': 115, '2023-09': 149, '2023-10': 259, '2023-11': 127, '2023-12': 89, '2024-01': 0, '2024-02': 0, '2024-03': 1, '2024-04': 10, '2024-05': 0, '2024-06': 0}","{'commits': 513, 'pull_requests': 106, 'issues': 106, 'reviews': 47}"
davidflypei,42,20,Python,"{'2023-06': 27, '2023-07': 1, '2023-08': 1, '2023-09': 0, '2023-10': 0, '2023-11': 0, '2023-12': 0, '2024-01': 0, '2024-02': 0, '2024-03': 0, '2024-04': 13, '2024-05': 0, '2024-06': 0}","{'commits': 33, 'pull_requests': 4, 'issues': 2, 'reviews': 3}"
SamuelGSouza,186,13,Jupyter Notebook,"{'2023-06': 90, '2023-07': 21, '2023-08': 8, '2023-09': 30, '2023-10': 25, '2023-11': 9, '2023-12': 0, '2024-01': 1, '2024-02': 0, '2024-03': 0, '2024-04': 2, '2024-05': 0, '2024-06': 0}","{'commits': 46, 'pull_requests': 5, 'issues': 2, 'reviews': 3}"
CarlosFiuza,500,28,JavaScript,"{'2023-06': 162, '2023-07': 69, '2023-08': 65, '2023-09': 111, '2023-10': 34, '2023-11': 30, '2023-12': 25, '2024-01': 0, '2024-02': 1, '2024-03': 0, '2024-04': 1, '2024-05': 2, '2024-06': 0}","{'commits': 104, 'pull_requests': 3, 'issues': 0, 'reviews': 9}"
ludeeus,2997,129,Python,"{'2023-06': 306, '2023-07': 228, '2023-08': 159, '2023-09': 298, '2023-10': 385, '2023-11': 256, '2023-12': 178, '2024-01': 211, '2024-02': 304, '2024-03': 116, '2024-04': 261, '2024-05': 295, '2024-06': 0}","{'commits': 1035, 'pull_requests': 560, 'issues': 5, 'reviews': 428}"
gitbmvb,513,26,Python,"{'2023-06': 125, '2023-07': 73, '2023-08': 2, '2023-09': 58, '2023-10': 42, '2023-11': 42, '2023-12': 27, '2024-01': 0, '2024-02': 0, '2024-03': 2, '2024-04': 83, '2024-05': 59, '2024-06': 0}","{'commits': 322, 'pull_requests': 41, 'issues': 13, 'reviews': 3}"
francisco1code,147,111,JavaScript,"{'2023-06': 9, '2023-07': 31, '2023-08': 17, '2023-09': 7, '2023-10': 5, '2023-11': 30, '2023-12': 0, '2024-01': 2, '2024-02': 13, '2024-03': 4, '2024-04': 6, '2024-05': 23, '2024-06': 0}","{'commits': 124, 'pull_requests': 2, 'issues': 4, 'reviews': 1}"
mateus-lm,220,31,Python,"{'2023-06': 16, '2023-07': 18, '2023-08': 15, '2023-09': 8, '2023-10': 34, '2023-11': 63, '2023-12': 46, '2024-01': 0, '2024-02': 0, '2024-03': 2, '2024-04': 11, '2024-05': 7, '2024-06': 0}","{'commits': 161, 'pull_requests': 16, 'issues': 12, 'reviews': 5}"
Cereal2nd,716,9,Python,"{'2023-06': 38, '2023-07': 137, '2023-08': 88, '2023-09': 40, '2023-10': 69, '2023-11': 86, '2023-12': 35, '2024-01': 53, '2024-02': 32, '2024-03': 51, '2024-04': 55, '2024-05': 32, '2024-06': 0}","{'commits': 200, 'pull_requests': 65, 'issues': 3, 'reviews': 18}"
Danielhiversen,1979,121,Python,"{'2023-06': 173, '2023-07': 113, '2023-08': 166, '2023-09': 216, '2023-10': 264, '2023-11': 205, '2023-12': 163, '2024-01': 133, '2024-02': 122, '2024-03': 149, '2024-04': 164, '2024-05': 107, '2024-06': 4}","{'commits': 87, 'pull_requests': 42, 'issues': 0, 'reviews': 14}"
Otavio4283,28,19,JavaScript,"{'2023-06': 0, '2023-07': 5, '2023-08': 0, '2023-09': 3, '2023-10': 6, '2023-11': 0, '2023-12': 5, '2024-01': 0, '2024-02': 0, '2024-03': 2, '2024-04': 7, '2024-05': 0, '2024-06': 0}","{'commits': 21, 'pull_requests': 1, 'issues': 3, 'reviews': 0}"
thiagopLacuna,3,1,Dart,"{'2023-06': 0, '2023-07': 0, '2023-08': 0, '2023-09': 0, '2023-10': 0, '2023-11': 0, '2023-12': 0, '2024-01': 3, '2024-02': 0, '2024-03': 0, '2024-04': 0, '2024-05': 0, '2024-06': 0}","{'commits': 0, 'pull_requests': 1, 'issues': 0, 'reviews': 0}"
GustavoHenriqueRS,188,20,TypeScript,"{'2023-06': 56, '2023-07': 44, '2023-08': 6, '2023-09': 18, '2023-10': 2, '2023-11': 26, '2023-12': 11, '2024-01': 0, '2024-02': 0, '2024-03': 1, '2024-04': 20, '2024-05': 4, '2024-06': 0}","{'commits': 61, 'pull_requests': 5, 'issues': 0, 'reviews': 0}"
VitorLamego,30,45,Dart,"{'2023-06': 0, '2023-07': 1, '2023-08': 0, '2023-09': 6, '2023-10': 13, '2023-11': 6, '2023-12': 4, '2024-01': 0, '2024-02': 0, '2024-03': 0, '2024-04': 0, '2024-05': 0, '2024-06': 0}","{'commits': 9, 'pull_requests': 9, 'issues': 1, 'reviews': 9}"
west7,352,11,C,"{'2023-06': 12, '2023-07': 3, '2023-08': 0, '2023-09': 0, '2023-10': 87, '2023-11': 81, '2023-12': 40, '2024-01': 0, '2024-02': 0, '2024-03': 11, '2024-04': 18, '2024-05': 95, '2024-06': 5}","{'commits': 321, 'pull_requests': 8, 'issues': 8, 'reviews': 7}"
brendavsantos,152,26,Python,"{'2023-06': 0, '2023-07': 4, '2023-08': 0, '2023-09': 14, '2023-10': 21, '2023-11': 24, '2023-12': 89, '2024-01': 0, '2024-02': 0, '2024-03': 0, '2024-04': 0, '2024-05': 0, '2024-06': 0}","{'commits': 116, 'pull_requests': 6, 'issues': 4, 'reviews': 25}"
marcellaanderle,34,3,Python,"{'2023-06': 0, '2023-07': 0, '2023-08': 0, '2023-09': 10, '2023-10': 2, '2023-11': 8, '2023-12': 3, '2024-01': 0, '2024-02': 0, '2024-03': 0, '2024-04': 11, '2024-05': 0, '2024-06': 0}","{'commits': 28, 'pull_requests': 4, 'issues': 0, 'reviews': 0}"
eric-kingu,23,4,JavaScript,"{'2023-06': 1, '2023-07': 0, '2023-08': 0, '2023-09': 0, '2023-10': 16, '2023-11': 5, '2023-12': 0, '2024-01': 0, '2024-02': 0, '2024-03': 0, '2024-04': 1, '2024-05': 0, '2024-06': 0}","{'commits': 20, 'pull_requests': 0, 'issues': 2, 'reviews': 0}"
JoosPerro,44,7,TeX,"{'2023-06': 0, '2023-07': 0, '2023-08': 0, '2023-09': 1, '2023-10': 15, '2023-11': 24, '2023-12': 3, '2024-01': 0, '2024-02': 0, '2024-03': 0, '2024-04': 1, '2024-05': 0, '2024-06': 0}","{'commits': 41, 'pull_requests': 0, 'issues': 0, 'reviews': 0}"
NiloMendonca,495,39,JavaScript,"{'2023-06': 30, '2023-07': 104, '2023-08': 76, '2023-09': 74, '2023-10': 79, '2023-11': 6, '2023-12': 25, '2024-01': 47, '2024-02': 16, '2024-03': 7, '2024-04': 19, '2024-05': 12, '2024-06': 0}","{'commits': 37, 'pull_requests': 5, 'issues': 0, 'reviews': 0}"
wallyson97,0,16,TypeScript,"{'2023-06': 0, '2023-07': 0, '2023-08': 0, '2023-09': 0, '2023-10': 0, '2023-11': 0, '2023-12': 0, '2024-01': 0, '2024-02': 0, '2024-03': 0, '2024-04': 0, '2024-05': 0, '2024-06': 0}","{'commits': 0, 'pull_requests': 0, 'issues': 0, 'reviews': 0}"
rikroe,217,25,Python,"{'2023-06': 17, '2023-07': 9, '2023-08': 39, '2023-09': 7, '2023-10': 35, '2023-11': 29, '2023-12': 11, '2024-01': 14, '2024-02': 15, '2024-03': 4, '2024-04': 23, '2024-05': 14, '2024-06': 0}","{'commits': 103, 'pull_requests': 87, 'issues': 6, 'reviews': 9}"
mibasFerraz,268,39,Python,"{'2023-06': 35, '2023-07': 35, '2023-08': 0, '2023-09': 30, '2023-10': 55, '2023-11': 57, '2023-12': 36, '2024-01': 2, '2024-02': 0, '2024-03': 0, '2024-04': 3, '2024-05': 15, '2024-06': 0}","{'commits': 218, 'pull_requests': 10, 'issues': 23, 'reviews': 14}"
knz13,94,31,C++,"{'2023-06': 4, '2023-07': 36, '2023-08': 1, '2023-09': 4, '2023-10': 0, '2023-11': 1, '2023-12': 16, '2024-01': 8, '2024-02': 12, '2024-03': 0, '2024-04': 9, '2024-05': 3, '2024-06': 0}","{'commits': 81, 'pull_requests': 0, 'issues': 9, 'reviews': 0}"
AlineLermen,327,32,JavaScript,"{'2023-06': 59, '2023-07': 45, '2023-08': 0, '2023-09': 9, '2023-10': 39, '2023-11': 111, '2023-12': 17, '2024-01': 28, '2024-02': 7, '2024-03': 3, '2024-04': 5, '2024-05': 4, '2024-06': 0}","{'commits': 175, 'pull_requests': 25, 'issues': 7, 'reviews': 34}"
luderibeiro,137,29,Python,"{'2023-06': 0, '2023-07': 0, '2023-08': 0, '2023-09': 0, '2023-10': 0, '2023-11': 0, '2023-12': 0, '2024-01': 0, '2024-02': 0, '2024-03': 0, '2024-04': 57, '2024-05': 80, '2024-06': 0}","{'commits': 80, 'pull_requests': 2, 'issues': 0, 'reviews': 0}"
matferreira1,68,14,TypeScript,"{'2023-06': 7, '2023-07': 13, '2023-08': 0, '2023-09': 0, '2023-10': 21, '2023-11': 1, '2023-12': 2, '2024-01': 4, '2024-02': 0, '2024-03': 0, '2024-04': 7, '2024-05': 13, '2024-06': 0}","{'commits': 60, 'pull_requests': 5, 'issues': 0, 'reviews': 0}"
GustavoAPS,128,42,Python,"{'2023-06': 15, '2023-07': 4, '2023-08': 3, '2023-09': 4, '2023-10': 41, '2023-11': 36, '2023-12': 16, '2024-01': 0, '2024-02': 0, '2024-03': 2, '2024-04': 3, '2024-05': 4, '2024-06': 0}","{'commits': 100, 'pull_requests': 4, 'issues': 7, 'reviews': 8}"
lhuck4z,129,8,Jupyter Notebook,"{'2023-06': 23, '2023-07': 25, '2023-08': 0, '2023-09': 14, '2023-10': 6, '2023-11': 26, '2023-12': 12, '2024-01': 1, '2024-02': 0, '2024-03': 3, '2024-04': 3, '2024-05': 16, '2024-06': 0}","{'commits': 52, 'pull_requests': 5, 'issues': 1, 'reviews': 0}"
artur-jack,261,16,Java,"{'2023-06': 66, '2023-07': 27, '2023-08': 3, '2023-09': 7, '2023-10': 55, '2023-11': 45, '2023-12': 51, '2024-01': 0, '2024-02': 4, '2024-03': 0, '2024-04': 0, '2024-05': 3, '2024-06': 0}","{'commits': 244, 'pull_requests': 4, 'issues': 0, 'reviews': 2}"
dbuezas,293,80,JavaScript,"{'2023-06': 50, '2023-07': 62, '2023-08': 59, '2023-09': 8, '2023-10': 4, '2023-11': 10, '2023-12': 35, '2024-01': 14, '2024-02': 5, '2024-03': 25, '2024-04': 8, '2024-05': 13, '2024-06': 0}","{'commits': 160, 'pull_requests': 35, 'issues': 30, 'reviews': 9}"
GuilhermeDSa1013,149,8,Java,"{'2023-06': 66, '2023-07': 43, '2023-08': 0, '2023-09': 0, '2023-10': 20, '2023-11': 10, '2023-12': 10, '2024-01': 0, '2024-02': 0, '2024-03': 0, '2024-04': 0, '2024-05': 0, '2024-06': 0}","{'commits': 120, 'pull_requests': 15, 'issues': 5, 'reviews': 8}"
DiceRunner714,79,7,Java,"{'2023-06': 13, '2023-07': 0, '2023-08': 0, '2023-09': 1, '2023-10': 0, '2023-11': 1, '2023-12': 64, '2024-01': 0, '2024-02': 0, '2024-03': 0, '2024-04': 0, '2024-05': 0, '2024-06': 0}","{'commits': 67, 'pull_requests': 4, 'issues': 0, 'reviews': 2}"
Kane610,1147,15,Python,"{'2023-06': 14, '2023-07': 55, '2023-08': 142, '2023-09': 63, '2023-10': 83, '2023-11': 53, '2023-12': 46, '2024-01': 64, '2024-02': 104, '2024-03': 370, '2024-04': 99, '2024-05': 53, '2024-06': 1}","{'commits': 450, 'pull_requests': 392, 'issues': 23, 'reviews': 282}"
phmelosilva,193,23,JavaScript,"{'2023-06': 33, '2023-07': 39, '2023-08': 3, '2023-09': 8, '2023-10': 42, '2023-11': 9, '2023-12': 4, '2024-01': 9, '2024-02': 12, '2024-03': 1, '2024-04': 7, '2024-05': 26, '2024-06': 0}","{'commits': 91, 'pull_requests': 17, 'issues': 0, 'reviews': 3}"
LimirioGuimaraes,658,18,Python,"{'2023-06': 60, '2023-07': 28, '2023-08': 0, '2023-09': 38, '2023-10': 119, '2023-11': 172, '2023-12': 189, '2024-01': 0, '2024-02': 8, '2024-03': 20, '2024-04': 24, '2024-05': 0, '2024-06': 0}","{'commits': 601, 'pull_requests': 24, 'issues': 3, 'reviews': 1}"
FelipeDireito,127,12,Python,"{'2023-06': 39, '2023-07': 21, '2023-08': 0, '2023-09': 5, '2023-10': 2, '2023-11': 23, '2023-12': 30, '2024-01': 0, '2024-02': 0, '2024-03': 0, '2024-04': 7, '2024-05': 0, '2024-06': 0}","{'commits': 107, 'pull_requests': 3, 'issues': 14, 'reviews': 1}"
Glodenox,78,36,JavaScript,"{'2023-06': 2, '2023-07': 4, '2023-08': 2, '2023-09': 12, '2023-10': 13, '2023-11': 16, '2023-12': 13, '2024-01': 1, '2024-02': 1, '2024-03': 9, '2024-04': 4, '2024-05': 1, '2024-06': 0}","{'commits': 49, 'pull_requests': 4, 'issues': 6, 'reviews': 2}"
MartinHjelmare,4754,79,Python,"{'2023-06': 321, '2023-07': 170, '2023-08': 371, '2023-09': 362, '2023-10': 492, '2023-11': 375, '2023-12': 421, '2024-01': 409, '2024-02': 680, '2024-03': 485, '2024-04': 477, '2024-05': 190, '2024-06': 1}","{'commits': 435, 'pull_requests': 106, 'issues': 0, 'reviews': 3838}"
lbvx,97,16,Python,"{'2023-06': 38, '2023-07': 10, '2023-08': 1, '2023-09': 7, '2023-10': 9, '2023-11': 12, '2023-12': 9, '2024-01': 0, '2024-02': 0, '2024-03': 2, '2024-04': 1, '2024-05': 8, '2024-06': 0}","{'commits': 74, 'pull_requests': 0, 'issues': 1, 'reviews': 1}"
ZenildaVieira,667,21,Python,"{'2023-06': 7, '2023-07': 6, '2023-08': 1, '2023-09': 77, '2023-10': 223, '2023-11': 203, '2023-12': 148, '2024-01': 0, '2024-02': 0, '2024-03': 2, '2024-04': 0, '2024-05': 0, '2024-06': 0}","{'commits': 528, 'pull_requests': 6, 'issues': 128, 'reviews': 4}"
