user,contributions,repositories,primary_language,monthly_contributions,contribution_types
Jlmsousa,39,3,C,"{'2023-06': 1, '2023-07': 5, '2023-08': 0, '2023-09': 5, '2023-10': 4, '2023-11': 18, '2023-12': 4, '2024-01': 0, '2024-02': 0, '2024-03': 0, '2024-04': 2, '2024-05': 0, '2024-06': 0}","{'commits': 39, 'pull_requests': 0, 'issues': 0, 'reviews': 0}"
oCaioOliveira,229,71,Python,"{'2023-06': 10, '2023-07': 20, '2023-08': 8, '2023-09': 12, '2023-10': 11, '2023-11': 91, '2023-12': 58, '2024-01': 10, '2024-02': 2, '2024-03': 2, '2024-04': 0, '2024-05': 5, '2024-06': 0}","{'commits': 196, 'pull_requests': 12, 'issues': 9, 'reviews': 3}"
soaresrlucas,31,13,C,"{'2023-06': 23, '2023-07': 0, '2023-08': 0, '2023-09': 0, '2023-10': 0, '2023-11': 0, '2023-12': 0, '2024-01': 6, '2024-02': 0, '2024-03': 2, '2024-04': 0, '2024-05': 0, '2024-06': 0}","{'commits': 20, 'pull_requests': 5, 'issues': 0, 'reviews': 1}"
ThiagoGMF,10,24,TypeScript,"{'2023-06': 5, '2023-07': 5, '2023-08': 0, '2023-09': 0, '2023-10': 0, '2023-11': 0, '2023-12': 0, '2024-01': 0, '2024-02': 0, '2024-03': 0, '2024-04': 0, '2024-05': 0, '2024-06': 0}","{'commits': 9, 'pull_requests': 0, 'issues': 0, 'reviews': 0}"
Juan-Ricarte,250,11,HTML,"{'2023-06': 24, '2023-07': 32, '2023-08': 4, '2023-09': 53, '2023-10': 42, '2023-11': 58, '2023-12': 22, '2024-01': 14, '2024-02': 0, '2024-03': 1, '2024-04': 0, '2024-05': 0, '2024-06': 0}","{'commits': 229, 'pull_requests': 4, 'issues': 7, 'reviews': 2}"
AnaKarolinyCavalcanti,55,6,Java,"{'2023-06': 24, '2023-07': 13, '2023-08': 0, '2023-09': 1, '2023-10': 12, '2023-11': 0, '2023-12': 0, '2024-01': 0, '2024-02': 0, '2024-03': 0, '2024-04': 0, '2024-05': 5, '2024-06': 0}","{'commits': 44, 'pull_requests': 2, 'issues': 0, 'reviews': 2}"
dougAlvs,321,17,Java,"{'2023-06': 50, '2023-07': 21, '2023-08': 2, '2023-09': 67, '2023-10': 65, '2023-11': 35, '2023-12': 33, '2024-01': 0, '2024-02': 0, '2024-03': 0, '2024-04': 26, '2024-05': 22, '2024-06': 0}","{'commits': 231, 'pull_requests': 22, 'issues': 19, 'reviews': 26}"
juliassmendonca,7,4,Java,"{'2023-06': 0, '2023-07': 0, '2023-08': 0, '2023-09': 0, '2023-10': 0, '2023-11': 0, '2023-12': 7, '2024-01': 0, '2024-02': 0, '2024-03': 0, '2024-04': 0, '2024-05': 0, '2024-06': 0}","{'commits': 6, 'pull_requests': 0, 'issues': 0, 'reviews': 0}"
nando3d3,270,25,Python,"{'2023-06': 13, '2023-07': 11, '2023-08': 19, '2023-09': 37, '2023-10': 36, '2023-11': 50, '2023-12': 40, '2024-01': 2, '2024-02': 17, '2024-03': 20, '2024-04': 14, '2024-05': 11, '2024-06': 0}","{'commits': 94, 'pull_requests': 6, 'issues': 2, 'reviews': 5}"
DaviAntonio,331,46,Python,"{'2023-06': 12, '2023-07': 13, '2023-08': 94, '2023-09': 88, '2023-10': 67, '2023-11': 57, '2023-12': 0, '2024-01': 0, '2024-02': 0, '2024-03': 0, '2024-04': 0, '2024-05': 0, '2024-06': 0}","{'commits': 266, 'pull_requests': 25, 'issues': 33, 'reviews': 4}"
PedroHhenriq,47,7,Java,"{'2023-06': 3, '2023-07': 15, '2023-08': 0, '2023-09': 0, '2023-10': 10, '2023-11': 6, '2023-12': 0, '2024-01': 0, '2024-02': 0, '2024-03': 0, '2024-04': 5, '2024-05': 8, '2024-06': 0}","{'commits': 40, 'pull_requests': 2, 'issues': 4, 'reviews': 0}"
JuliaSSouza,209,11,Java,"{'2023-06': 62, '2023-07': 28, '2023-08': 0, '2023-09': 13, '2023-10': 29, '2023-11': 31, '2023-12': 28, '2024-01': 1, '2024-02': 0, '2024-03': 1, '2024-04': 16, '2024-05': 0, '2024-06': 0}","{'commits': 203, 'pull_requests': 3, 'issues': 2, 'reviews': 0}"
MateusPy,347,13,Python,"{'2023-06': 28, '2023-07': 30, '2023-08': 0, '2023-09': 54, '2023-10': 45, '2023-11': 75, '2023-12': 83, '2024-01': 0, '2024-02': 14, '2024-03': 1, '2024-04': 16, '2024-05': 1, '2024-06': 0}","{'commits': 313, 'pull_requests': 21, 'issues': 6, 'reviews': 2}"
geraldovictor,191,53,Python,"{'2023-06': 0, '2023-07': 9, '2023-08': 0, '2023-09': 5, '2023-10': 61, '2023-11': 79, '2023-12': 36, '2024-01': 0, '2024-02': 0, '2024-03': 0, '2024-04': 1, '2024-05': 0, '2024-06': 0}","{'commits': 124, 'pull_requests': 11, 'issues': 2, 'reviews': 46}"
Mylena-angelica,207,48,HTML,"{'2023-06': 69, '2023-07': 35, '2023-08': 1, '2023-09': 56, '2023-10': 9, '2023-11': 8, '2023-12': 11, '2024-01': 0, '2024-02': 0, '2024-03': 14, '2024-04': 3, '2024-05': 1, '2024-06': 0}","{'commits': 160, 'pull_requests': 7, 'issues': 10, 'reviews': 6}"
VictorAmaralC,141,35,C,"{'2023-06': 0, '2023-07': 0, '2023-08': 0, '2023-09': 14, '2023-10': 31, '2023-11': 34, '2023-12': 52, '2024-01': 0, '2024-02': 0, '2024-03': 0, '2024-04': 0, '2024-05': 7, '2024-06': 3}","{'commits': 91, 'pull_requests': 8, 'issues': 30, 'reviews': 12}"
Stain19,191,11,Java,"{'2023-06': 31, '2023-07': 19, '2023-08': 60, '2023-09': 12, '2023-10': 14, '2023-11': 10, '2023-12': 0, '2024-01': 0, '2024-02': 0, '2024-03': 8, '2024-04': 31, '2024-05': 6, '2024-06': 0}","{'commits': 116, 'pull_requests': 11, 'issues': 47, 'reviews': 10}"
GRVial,59,23,Python,"{'2023-06': 6, '2023-07': 19, '2023-08': 0, '2023-09': 0, '2023-10': 3, '2023-11': 6, '2023-12': 9, '2024-01': 0, '2024-02': 0, '2024-03': 1, '2024-04': 14, '2024-05': 1, '2024-06': 0}","{'commits': 38, 'pull_requests': 2, 'issues': 3, 'reviews': 2}"
PedroLucasCM,44,24,Python,"{'2023-06': 0, '2023-07': 5, '2023-08': 0, '2023-09': 4, '2023-10': 19, '2023-11': 4, '2023-12': 12, '2024-01': 0, '2024-02': 0, '2024-03': 0, '2024-04': 0, '2024-05': 0, '2024-06': 0}","{'commits': 44, 'pull_requests': 0, 'issues': 0, 'reviews': 0}"
ngm1450,171,16,HTML,"{'2023-06': 3, '2023-07': 7, '2023-08': 2, '2023-09': 0, '2023-10': 24, '2023-11': 4, '2023-12': 131, '2024-01': 0, '2024-02': 0, '2024-03': 0, '2024-04': 0, '2024-05': 0, '2024-06': 0}","{'commits': 150, 'pull_requests': 14, 'issues': 1, 'reviews': 3}"
cdce8p,2042,42,Python,"{'2023-06': 63, '2023-07': 194, '2023-08': 216, '2023-09': 128, '2023-10': 90, '2023-11': 36, '2023-12': 59, '2024-01': 317, '2024-02': 203, '2024-03': 232, '2024-04': 187, '2024-05': 314, '2024-06': 3}","{'commits': 875, 'pull_requests': 792, 'issues': 30, 'reviews': 229}"
Victor-oss,198,31,Python,"{'2023-06': 1, '2023-07': 12, '2023-08': 22, '2023-09': 25, '2023-10': 30, '2023-11': 58, '2023-12': 27, '2024-01': 0, '2024-02': 0, '2024-03': 0, '2024-04': 22, '2024-05': 1, '2024-06': 0}","{'commits': 148, 'pull_requests': 26, 'issues': 14, 'reviews': 6}"
