user,contributions,repositories,primary_language,monthly_contributions,contribution_types
oo7gabriel,230,25,TypeScript,"{'2023-06': 111, '2023-07': 51, '2023-08': 3, '2023-09': 13, '2023-10': 25, '2023-11': 8, '2023-12': 11, '2024-01': 0, '2024-02': 0, '2024-03': 1, '2024-04': 7, '2024-05': 0, '2024-06': 0}","{'commits': 63, 'pull_requests': 4, 'issues': 2, 'reviews': 2}"
joycejdm,221,4,HTML,"{'2023-06': 0, '2023-07': 0, '2023-08': 4, '2023-09': 19, '2023-10': 0, '2023-11': 0, '2023-12': 0, '2024-01': 29, '2024-02': 24, '2024-03': 46, '2024-04': 71, '2024-05': 27, '2024-06': 1}","{'commits': 213, 'pull_requests': 5, 'issues': 0, 'reviews': 1}"
ArthurJahn,3,31,HTML,"{'2023-06': 0, '2023-07': 0, '2023-08': 0, '2023-09': 0, '2023-10': 0, '2023-11': 1, '2023-12': 1, '2024-01': 0, '2024-02': 0, '2024-03': 0, '2024-04': 0, '2024-05': 1, '2024-06': 0}","{'commits': 0, 'pull_requests': 0, 'issues': 1, 'reviews': 0}"
ednunes,371,47,Python,"{'2023-06': 4, '2023-07': 1, '2023-08': 8, '2023-09': 7, '2023-10': 24, '2023-11': 29, '2023-12': 13, '2024-01': 24, '2024-02': 38, '2024-03': 54, '2024-04': 98, '2024-05': 71, '2024-06': 0}","{'commits': 371, 'pull_requests': 0, 'issues': 0, 'reviews': 0}"
apmt,0,12,C++,"{'2023-06': 0, '2023-07': 0, '2023-08': 0, '2023-09': 0, '2023-10': 0, '2023-11': 0, '2023-12': 0, '2024-01': 0, '2024-02': 0, '2024-03': 0, '2024-04': 0, '2024-05': 0, '2024-06': 0}","{'commits': 0, 'pull_requests': 0, 'issues': 0, 'reviews': 0}"
alinebastos,5,97,JavaScript,"{'2023-06': 0, '2023-07': 2, '2023-08': 2, '2023-09': 0, '2023-10': 1, '2023-11': 0, '2023-12': 0, '2024-01': 0, '2024-02': 0, '2024-03': 0, '2024-04': 0, '2024-05': 0, '2024-06': 0}","{'commits': 4, 'pull_requests': 0, 'issues': 0, 'reviews': 0}"
VitorB2002,306,33,HTML,"{'2023-06': 37, '2023-07': 53, '2023-08': 16, '2023-09': 20, '2023-10': 32, '2023-11': 76, '2023-12': 36, '2024-01': 36, '2024-02': 0, '2024-03': 0, '2024-04': 0, '2024-05': 0, '2024-06': 0}","{'commits': 283, 'pull_requests': 8, 'issues': 1, 'reviews': 1}"
eliseuegewarth,0,37,Python,"{'2023-06': 0, '2023-07': 0, '2023-08': 0, '2023-09': 0, '2023-10': 0, '2023-11': 0, '2023-12': 0, '2024-01': 0, '2024-02': 0, '2024-03': 0, '2024-04': 0, '2024-05': 0, '2024-06': 0}","{'commits': 0, 'pull_requests': 0, 'issues': 0, 'reviews': 0}"
ElviaBth,219,64,Ruby,"{'2023-06': 9, '2023-07': 7, '2023-08': 13, '2023-09': 7, '2023-10': 7, '2023-11': 3, '2023-12': 19, '2024-01': 44, '2024-02': 9, '2024-03': 14, '2024-04': 27, '2024-05': 60, '2024-06': 0}","{'commits': 157, 'pull_requests': 43, 'issues': 1, 'reviews': 0}"
lelamo2002,229,29,TypeScript,"{'2023-06': 45, '2023-07': 40, '2023-08': 18, '2023-09': 15, '2023-10': 0, '2023-11': 34, '2023-12': 20, '2024-01': 2, '2024-02': 0, '2024-03': 4, '2024-04': 46, '2024-05': 5, '2024-06': 0}","{'commits': 116, 'pull_requests': 6, 'issues': 1, 'reviews': 0}"
Juan-Ricarte,250,11,HTML,"{'2023-06': 24, '2023-07': 32, '2023-08': 4, '2023-09': 53, '2023-10': 42, '2023-11': 58, '2023-12': 22, '2024-01': 14, '2024-02': 0, '2024-03': 1, '2024-04': 0, '2024-05': 0, '2024-06': 0}","{'commits': 229, 'pull_requests': 4, 'issues': 7, 'reviews': 2}"
arthurTemporim,786,70,Python,"{'2023-06': 41, '2023-07': 65, '2023-08': 67, '2023-09': 133, '2023-10': 56, '2023-11': 52, '2023-12': 60, '2024-01': 100, '2024-02': 120, '2024-03': 54, '2024-04': 32, '2024-05': 6, '2024-06': 0}","{'commits': 16, 'pull_requests': 3, 'issues': 3, 'reviews': 0}"
Quentinchampenois,1216,141,Ruby,"{'2023-06': 50, '2023-07': 130, '2023-08': 93, '2023-09': 244, '2023-10': 150, '2023-11': 72, '2023-12': 52, '2024-01': 77, '2024-02': 76, '2024-03': 50, '2024-04': 76, '2024-05': 146, '2024-06': 0}","{'commits': 703, 'pull_requests': 181, 'issues': 17, 'reviews': 212}"
paulinebessoles,249,24,Ruby,"{'2023-06': 42, '2023-07': 36, '2023-08': 41, '2023-09': 76, '2023-10': 46, '2023-11': 1, '2023-12': 0, '2024-01': 6, '2024-02': 0, '2024-03': 0, '2024-04': 1, '2024-05': 0, '2024-06': 0}","{'commits': 92, 'pull_requests': 47, 'issues': 9, 'reviews': 97}"
raqueleucaria,220,26,Python,"{'2023-06': 2, '2023-07': 3, '2023-08': 104, '2023-09': 12, '2023-10': 37, '2023-11': 27, '2023-12': 15, '2024-01': 1, '2024-02': 0, '2024-03': 0, '2024-04': 19, '2024-05': 0, '2024-06': 0}","{'commits': 101, 'pull_requests': 29, 'issues': 72, 'reviews': 13}"
roddas,796,35,C,"{'2023-06': 40, '2023-07': 80, '2023-08': 134, '2023-09': 88, '2023-10': 131, '2023-11': 63, '2023-12': 96, '2024-01': 43, '2024-02': 75, '2024-03': 34, '2024-04': 8, '2024-05': 4, '2024-06': 0}","{'commits': 641, 'pull_requests': 38, 'issues': 41, 'reviews': 8}"
egewarth,255,44,JavaScript,"{'2023-06': 142, '2023-07': 79, '2023-08': 29, '2023-09': 5, '2023-10': 0, '2023-11': 0, '2023-12': 0, '2024-01': 0, '2024-02': 0, '2024-03': 0, '2024-04': 0, '2024-05': 0, '2024-06': 0}","{'commits': 0, 'pull_requests': 0, 'issues': 0, 'reviews': 0}"
WolffStein,51,10,Jupyter Notebook,"{'2023-06': 0, '2023-07': 3, '2023-08': 0, '2023-09': 4, '2023-10': 5, '2023-11': 25, '2023-12': 2, '2024-01': 0, '2024-02': 0, '2024-03': 0, '2024-04': 8, '2024-05': 4, '2024-06': 0}","{'commits': 45, 'pull_requests': 3, 'issues': 0, 'reviews': 0}"
AnHoff,99,15,Python,"{'2023-06': 42, '2023-07': 4, '2023-08': 0, '2023-09': 0, '2023-10': 11, '2023-11': 16, '2023-12': 4, '2024-01': 0, '2024-02': 0, '2024-03': 6, '2024-04': 11, '2024-05': 5, '2024-06': 0}","{'commits': 63, 'pull_requests': 11, 'issues': 13, 'reviews': 0}"
vnsrz,158,34,Python,"{'2023-06': 28, '2023-07': 4, '2023-08': 2, '2023-09': 41, '2023-10': 34, '2023-11': 34, '2023-12': 9, '2024-01': 0, '2024-02': 0, '2024-03': 4, '2024-04': 2, '2024-05': 0, '2024-06': 0}","{'commits': 117, 'pull_requests': 2, 'issues': 4, 'reviews': 2}"
alvesisaque,3,67,Python,"{'2023-06': 0, '2023-07': 0, '2023-08': 1, '2023-09': 2, '2023-10': 0, '2023-11': 0, '2023-12': 0, '2024-01': 0, '2024-02': 0, '2024-03': 0, '2024-04': 0, '2024-05': 0, '2024-06': 0}","{'commits': 2, 'pull_requests': 0, 'issues': 0, 'reviews': 0}"
lucasgcaldas,302,57,Java,"{'2023-06': 42, '2023-07': 14, '2023-08': 1, '2023-09': 8, '2023-10': 12, '2023-11': 65, '2023-12': 30, '2024-01': 5, '2024-02': 7, '2024-03': 2, '2024-04': 43, '2024-05': 73, '2024-06': 0}","{'commits': 121, 'pull_requests': 22, 'issues': 7, 'reviews': 12}"
MBeltrami,0,9,R,"{'2023-06': 0, '2023-07': 0, '2023-08': 0, '2023-09': 0, '2023-10': 0, '2023-11': 0, '2023-12': 0, '2024-01': 0, '2024-02': 0, '2024-03': 0, '2024-04': 0, '2024-05': 0, '2024-06': 0}","{'commits': 0, 'pull_requests': 0, 'issues': 0, 'reviews': 0}"
dudaa28,6,7,Python,"{'2023-06': 0, '2023-07': 0, '2023-08': 0, '2023-09': 0, '2023-10': 0, '2023-11': 0, '2023-12': 0, '2024-01': 0, '2024-02': 0, '2024-03': 2, '2024-04': 2, '2024-05': 0, '2024-06': 2}","{'commits': 2, 'pull_requests': 0, 'issues': 0, 'reviews': 0}"
francisco1code,147,111,JavaScript,"{'2023-06': 9, '2023-07': 31, '2023-08': 17, '2023-09': 7, '2023-10': 5, '2023-11': 30, '2023-12': 0, '2024-01': 2, '2024-02': 13, '2024-03': 4, '2024-04': 6, '2024-05': 23, '2024-06': 0}","{'commits': 124, 'pull_requests': 2, 'issues': 4, 'reviews': 1}"
Gui-fga,15,6,SCSS,"{'2023-06': 0, '2023-07': 0, '2023-08': 0, '2023-09': 0, '2023-10': 0, '2023-11': 5, '2023-12': 0, '2024-01': 4, '2024-02': 0, '2024-03': 0, '2024-04': 0, '2024-05': 6, '2024-06': 0}","{'commits': 6, 'pull_requests': 3, 'issues': 0, 'reviews': 0}"
isabellacgmsa,73,59,JavaScript,"{'2023-06': 53, '2023-07': 2, '2023-08': 0, '2023-09': 2, '2023-10': 6, '2023-11': 0, '2023-12': 10, '2024-01': 0, '2024-02': 0, '2024-03': 0, '2024-04': 0, '2024-05': 0, '2024-06': 0}","{'commits': 64, 'pull_requests': 3, 'issues': 0, 'reviews': 0}"
laurajaime,998,33,Ruby,"{'2023-06': 88, '2023-07': 41, '2023-08': 63, '2023-09': 69, '2023-10': 102, '2023-11': 65, '2023-12': 108, '2024-01': 106, '2024-02': 95, '2024-03': 63, '2024-04': 97, '2024-05': 101, '2024-06': 0}","{'commits': 247, 'pull_requests': 105, 'issues': 1, 'reviews': 89}"
LeoSilvaGomes,69,39,JavaScript,"{'2023-06': 7, '2023-07': 20, '2023-08': 0, '2023-09': 0, '2023-10': 0, '2023-11': 0, '2023-12': 0, '2024-01': 1, '2024-02': 33, '2024-03': 7, '2024-04': 1, '2024-05': 0, '2024-06': 0}","{'commits': 66, 'pull_requests': 1, 'issues': 1, 'reviews': 1}"
SamBlackLotus,189,10,Python,"{'2023-06': 0, '2023-07': 0, '2023-08': 0, '2023-09': 1, '2023-10': 0, '2023-11': 38, '2023-12': 72, '2024-01': 26, '2024-02': 12, '2024-03': 24, '2024-04': 13, '2024-05': 3, '2024-06': 0}","{'commits': 180, 'pull_requests': 1, 'issues': 0, 'reviews': 0}"
Victor-oss,198,31,Python,"{'2023-06': 1, '2023-07': 12, '2023-08': 22, '2023-09': 25, '2023-10': 30, '2023-11': 58, '2023-12': 27, '2024-01': 0, '2024-02': 0, '2024-03': 0, '2024-04': 22, '2024-05': 1, '2024-06': 0}","{'commits': 148, 'pull_requests': 26, 'issues': 14, 'reviews': 6}"
bot-do-jao,211,30,JavaScript,"{'2023-06': 104, '2023-07': 31, '2023-08': 16, '2023-09': 10, '2023-10': 3, '2023-11': 7, '2023-12': 0, '2024-01': 4, '2024-02': 13, '2024-03': 8, '2024-04': 8, '2024-05': 7, '2024-06': 0}","{'commits': 131, 'pull_requests': 9, 'issues': 18, 'reviews': 6}"
laurapinos,36,21,Python,"{'2023-06': 0, '2023-07': 1, '2023-08': 0, '2023-09': 3, '2023-10': 8, '2023-11': 12, '2023-12': 5, '2024-01': 0, '2024-02': 0, '2024-03': 0, '2024-04': 7, '2024-05': 0, '2024-06': 0}","{'commits': 29, 'pull_requests': 4, 'issues': 0, 'reviews': 1}"
ArturVinicius,44,26,Python,"{'2023-06': 0, '2023-07': 0, '2023-08': 2, '2023-09': 12, '2023-10': 14, '2023-11': 5, '2023-12': 11, '2024-01': 0, '2024-02': 0, '2024-03': 0, '2024-04': 0, '2024-05': 0, '2024-06': 0}","{'commits': 37, 'pull_requests': 4, 'issues': 1, 'reviews': 2}"
edudsan,37,17,HTML,"{'2023-06': 21, '2023-07': 1, '2023-08': 0, '2023-09': 6, '2023-10': 4, '2023-11': 5, '2023-12': 0, '2024-01': 0, '2024-02': 0, '2024-03': 0, '2024-04': 0, '2024-05': 0, '2024-06': 0}","{'commits': 34, 'pull_requests': 2, 'issues': 0, 'reviews': 0}"
leomichalski,250,64,Jupyter Notebook,"{'2023-06': 6, '2023-07': 17, '2023-08': 15, '2023-09': 51, '2023-10': 51, '2023-11': 16, '2023-12': 78, '2024-01': 1, '2024-02': 2, '2024-03': 12, '2024-04': 1, '2024-05': 0, '2024-06': 0}","{'commits': 200, 'pull_requests': 19, 'issues': 11, 'reviews': 7}"
